Month,Day,1980's Average,1990's Average,2000's Average,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
5,11,13431873,13063743,12600967,-9999,12529205,12147019,12468312,12059347,12344066,12603415,12874482,12438892,12315782,12618960,-9999,12255664,12056719,11573104,12266647,11836232,11811736
5,12,13394080,13017360,12546566,-9999,12507133,12111919,12396535,12037212,12271517,12546531,12783498,12400300,12266463,12545052,-9999,12165189,11983392,11488450,12188934,11746777,11788391
5,13,13360925,12971102,12504360,-9999,12494917,12065848,12405857,11998299,12224481,12510894,12754431,12380032,12213393,12509901,-9999,12114008,11931057,11371124,12122378,11721268,11722215
5,14,13317726,12921563,12466263,-9999,12478428,12008465,12390575,11980021,12207461,12457302,12710104,12345319,12155387,12459867,-9999,12059926,11891356,11293726,12068894,11677808,11657225
5,15,13271140,12867771,12428580,-9999,12442470,11956806,12342650,11948189,12179318,12393661,12673384,12251828,12091481,12369403,12366819,12044485,11867281,11262361,12020242,11671777,11568100
5,16,13212423,12816675,12384770,-9999,12383845,11916225,12319177,11884186,12123486,12353796,12604000,12193581,12019556,12264158,12366441,12009342,11806520,11197909,11929542,11630844,11488339
5,17,13154456,12760337,12333540,-9999,12367409,11892396,12305687,11813357,12105584,12299462,12526177,12087581,11973257,12178243,12326705,11993689,11751564,11144719,11861030,11588270,11421099
5,18,13107807,12702506,12273917,-9999,12325998,11843999,12282167,11771605,12092154,12191699,12433687,12008099,11943821,12166063,12254238,11920264,11675662,11104253,11825978,11520403,11374861
5,19,13064376,12644563,12211819,-9999,12284116,11779743,12255713,11742659,12084652,12079227,12301942,11916912,11902719,12116857,12207073,11872856,11611102,11041226,11792207,11434743,11323094
5,20,13027211,12594850,12157416,-9999,12238244,11715030,12223236,11695943,12014399,11969089,12288412,11825554,11816428,12053157,12152329,11847718,11513530,10989954,11774477,11374694,11259122
5,21,12987611,12540564,12105362,-9999,12179384,11657565,12162010,11657183,11944644,11931476,12245152,11751145,11752352,11995186,12080852,11812691,11440794,10951843,11766129,11304168,11209501
5,22,12942752,12486577,12055377,-9999,12134173,11620694,12102346,11589486,11890201,11904692,12171726,11695402,11699353,11924617,12050072,11808796,11373423,10923963,11715601,11269417,11172088
5,23,12904128,12440964,12006973,-9999,12119523,11585887,12015609,11545147,11830230,11875605,12092457,11639217,11629698,11887627,11993792,11771486,11316447,10880319,11660438,11226696,11147396
5,24,12862234,12402164,11958644,-9999,12104050,11583009,11946497,11504819,11784016,11859558,12005327,11568063,11555107,11846402,11949196,11720662,11275662,10792665,11600754,11162193,11105370
5,25,12821106,12366952,11913675,-9999,12081177,11576048,11892022,11453781,11700764,11808376,11903470,11488230,11463118,11797276,11904788,11681711,11227542,10704953,11544894,11119821,11081708
5,26,12781901,12333124,11872902,-9999,12008657,11595712,11813337,11411537,11638936,11791417,11838186,11431330,11399621,11742516,11863284,11637576,11182043,10652073,11519803,11088039,11063862
5,27,12735446,12301443,11831051,-9999,11947371,11604298,11758989,11363866,11601514,11741557,11807520,11360200,11342671,11697899,11830945,11596757,11124380,10631176,11464130,11048329,11012077
5,28,12687629,12270721,11792842,-9999,11904214,11591712,11700825,11331120,11589468,11726960,11778419,11313137,11326048,11652726,11796732,11548238,11065959,10577431,11411786,11018676,10941402
5,29,12645565,12238709,11757785,-9999,11884016,11572473,11626902,11291626,11567879,11700120,11740705,11305771,11289199,11595914,11777670,11519123,10997659,10524842,11348485,10979066,10879554
5,30,12603862,12203173,11716078,-9999,11857300,11551469,11564873,11259992,11509615,11660739,11675513,11268823,11238538,11515194,11736352,11470484,10938100,10480690,11283701,10915129,10833061
5,31,12570008,12160591,11668971,-9999,11834340,11502928,11513696,11228068,11471913,11621530,11614388,11192132,11165858,11480950,11679764,11385455,10878571,10427044,11211387,10891345,10768933
6,1,12528782,12110792,11623450,-9999,11823376,11469931,11435633,11227018,11438137,11600367,11557409,11147651,11087132,11443198,11614569,11314078,10845785,10405086,11138263,10820711,10671125
6,2,12487246,12066808,11580218,-9999,11793346,11444496,11315697,11191875,11409062,11572920,11516922,11107073,11031120,11387973,11551038,11261908,10800117,10374337,11064847,10736166,10593671
6,3,12438889,12025755,11534117,-9999,11765140,11398976,11241872,11141020,11347334,11514572,11471176,11066526,10990393,11353608,11495445,11212268,10753060,10350720,11022775,10691716,10558744
6,4,12396239,11999477,11483964,-9999,11724107,11368037,11174855,11104987,11286510,11470565,11394902,11006754,10976729,11352712,11464931,11157663,10688968,10354257,10995493,10649695,10525158
